  Steps: 0000M | FPS: 72581 | Reward: 138.79 | Latent MSE: 0.1976 | Best: 138.79
  Steps: 0000M | FPS: 72743 | Reward: 150.64 | Latent MSE: 0.1966 | Best: 150.64
  Steps: 0000M | FPS: 72905 | Reward: 156.47 | Latent MSE: 0.1956 | Best: 156.47
  Steps: 0000M | FPS: 73072 | Reward: 156.88 | Latent MSE: 0.1945 | Best: 156.88
  Steps: 0000M | FPS: 73266 | Reward: 157.06 | Latent MSE: 0.1935 | Best: 157.06
  Steps: 0000M | FPS: 73461 | Reward: 157.26 | Latent MSE: 0.1924 | Best: 157.26
  Steps: 0000M | FPS: 73613 | Reward: 157.92 | Latent MSE: 0.1914 | Best: 157.92
  Steps: 0000M | FPS: 73771 | Reward: 158.32 | Latent MSE: 0.1904 | Best: 158.32
  Steps: 0000M | FPS: 73915 | Reward: 158.89 | Latent MSE: 0.1894 | Best: 158.89
  Steps: 0000M | FPS: 74061 | Reward: 160.20 | Latent MSE: 0.1884 | Best: 160.20
  Steps: 0000M | FPS: 74209 | Reward: 165.18 | Latent MSE: 0.1874 | Best: 165.18
  Steps: 0000M | FPS: 74379 | Reward: 166.05 | Latent MSE: 0.1865 | Best: 166.05
  Steps: 0000M | FPS: 74544 | Reward: 169.17 | Latent MSE: 0.1855 | Best: 169.17
  Steps: 0000M | FPS: 74717 | Reward: 169.51 | Latent MSE: 0.1845 | Best: 169.51
  Steps: 0000M | FPS: 74871 | Reward: 169.92 | Latent MSE: 0.1835 | Best: 169.92
  Steps: 0000M | FPS: 75001 | Reward: 170.22 | Latent MSE: 0.1826 | Best: 170.22
  Steps: 0000M | FPS: 75155 | Reward: 170.18 | Latent MSE: 0.1816 | Best: 170.22
  Steps: 0000M | FPS: 75306 | Reward: 170.77 | Latent MSE: 0.1806 | Best: 170.77
  Steps: 0000M | FPS: 75478 | Reward: 171.00 | Latent MSE: 0.1796 | Best: 171.00
  Steps: 0000M | FPS: 75598 | Reward: 171.08 | Latent MSE: 0.1787 | Best: 171.08
  Steps: 0000M | FPS: 75740 | Reward: 171.37 | Latent MSE: 0.1778 | Best: 171.37
  Steps: 0000M | FPS: 75866 | Reward: 172.04 | Latent MSE: 0.1768 | Best: 172.04
  Steps: 0000M | FPS: 75963 | Reward: 172.66 | Latent MSE: 0.1759 | Best: 172.66
  Steps: 0000M | FPS: 76105 | Reward: 173.05 | Latent MSE: 0.1750 | Best: 173.05
  Steps: 0000M | FPS: 76282 | Reward: 173.44 | Latent MSE: 0.1742 | Best: 173.44
  Steps: 0000M | FPS: 76430 | Reward: 173.81 | Latent MSE: 0.1733 | Best: 173.81
  Steps: 0000M | FPS: 76567 | Reward: 174.12 | Latent MSE: 0.1724 | Best: 174.12
  Steps: 0000M | FPS: 76675 | Reward: 174.30 | Latent MSE: 0.1715 | Best: 174.30
  Steps: 0000M | FPS: 76802 | Reward: 175.28 | Latent MSE: 0.1707 | Best: 175.28
  Steps: 0000M | FPS: 76912 | Reward: 176.09 | Latent MSE: 0.1698 | Best: 176.09
  Steps: 0000M | FPS: 77065 | Reward: 176.94 | Latent MSE: 0.1690 | Best: 176.94
  Steps: 0000M | FPS: 77219 | Reward: 177.71 | Latent MSE: 0.1681 | Best: 177.71
  Steps: 0000M | FPS: 77324 | Reward: 177.77 | Latent MSE: 0.1673 | Best: 177.77
  Steps: 0000M | FPS: 77437 | Reward: 177.81 | Latent MSE: 0.1665 | Best: 177.81
  Steps: 0000M | FPS: 77540 | Reward: 178.66 | Latent MSE: 0.1656 | Best: 178.66
  Steps: 0000M | FPS: 77669 | Reward: 179.08 | Latent MSE: 0.1648 | Best: 179.08
  Steps: 0000M | FPS: 77797 | Reward: 180.74 | Latent MSE: 0.1640 | Best: 180.74
  Steps: 0000M | FPS: 77953 | Reward: 183.14 | Latent MSE: 0.1632 | Best: 183.14
  Steps: 0000M | FPS: 78046 | Reward: 184.49 | Latent MSE: 0.1625 | Best: 184.49
  Steps: 0000M | FPS: 78118 | Reward: 185.47 | Latent MSE: 0.1617 | Best: 185.47
  Steps: 0000M | FPS: 78218 | Reward: 186.55 | Latent MSE: 0.1609 | Best: 186.55
  Steps: 0000M | FPS: 78320 | Reward: 188.07 | Latent MSE: 0.1601 | Best: 188.07
  Steps: 0000M | FPS: 78425 | Reward: 188.66 | Latent MSE: 0.1593 | Best: 188.66
  Steps: 0000M | FPS: 78513 | Reward: 188.91 | Latent MSE: 0.1586 | Best: 188.91
  Steps: 0000M | FPS: 78664 | Reward: 188.81 | Latent MSE: 0.1578 | Best: 188.91
  Steps: 0000M | FPS: 78768 | Reward: 189.39 | Latent MSE: 0.1571 | Best: 189.39
  Steps: 0000M | FPS: 78883 | Reward: 189.37 | Latent MSE: 0.1563 | Best: 189.39
  Steps: 0000M | FPS: 79009 | Reward: 189.99 | Latent MSE: 0.1556 | Best: 189.99
  Steps: 0000M | FPS: 79139 | Reward: 190.40 | Latent MSE: 0.1548 | Best: 190.40
  Steps: 0000M | FPS: 79307 | Reward: 190.40 | Latent MSE: 0.1541 | Best: 190.40
  Steps: 0000M | FPS: 79389 | Reward: 190.32 | Latent MSE: 0.1533 | Best: 190.40
  Steps: 0000M | FPS: 79492 | Reward: 191.13 | Latent MSE: 0.1526 | Best: 191.13
  Steps: 0000M | FPS: 79632 | Reward: 191.24 | Latent MSE: 0.1519 | Best: 191.24
  Steps: 0000M | FPS: 79806 | Reward: 191.24 | Latent MSE: 0.1512 | Best: 191.24
  Steps: 0000M | FPS: 79901 | Reward: 191.82 | Latent MSE: 0.1505 | Best: 191.82
  Steps: 0000M | FPS: 79998 | Reward: 192.22 | Latent MSE: 0.1498 | Best: 192.22
  Steps: 0000M | FPS: 80136 | Reward: 192.52 | Latent MSE: 0.1491 | Best: 192.52
  Steps: 0000M | FPS: 80226 | Reward: 192.56 | Latent MSE: 0.1485 | Best: 192.56
  Steps: 0000M | FPS: 80354 | Reward: 192.56 | Latent MSE: 0.1478 | Best: 192.56
  Steps: 0000M | FPS: 80441 | Reward: 193.28 | Latent MSE: 0.1471 | Best: 193.28
  Steps: 0000M | FPS: 80570 | Reward: 193.41 | Latent MSE: 0.1465 | Best: 193.41
  Steps: 0000M | FPS: 80645 | Reward: 193.86 | Latent MSE: 0.1458 | Best: 193.86
  Steps: 0000M | FPS: 80720 | Reward: 193.97 | Latent MSE: 0.1452 | Best: 193.97
  Steps: 0000M | FPS: 80849 | Reward: 193.97 | Latent MSE: 0.1445 | Best: 193.97
  Steps: 0000M | FPS: 80957 | Reward: 194.15 | Latent MSE: 0.1439 | Best: 194.15
  Steps: 0000M | FPS: 81069 | Reward: 195.40 | Latent MSE: 0.1433 | Best: 195.40
  Steps: 0000M | FPS: 81144 | Reward: 195.83 | Latent MSE: 0.1426 | Best: 195.83
  Steps: 0000M | FPS: 81219 | Reward: 196.50 | Latent MSE: 0.1420 | Best: 196.50
  Steps: 0000M | FPS: 81299 | Reward: 196.41 | Latent MSE: 0.1414 | Best: 196.50
  Steps: 0000M | FPS: 81384 | Reward: 197.14 | Latent MSE: 0.1408 | Best: 197.14
  Steps: 0000M | FPS: 81502 | Reward: 198.27 | Latent MSE: 0.1402 | Best: 198.27
  Steps: 0000M | FPS: 81566 | Reward: 198.59 | Latent MSE: 0.1396 | Best: 198.59
  Steps: 0000M | FPS: 81702 | Reward: 198.59 | Latent MSE: 0.1390 | Best: 198.59
  Steps: 0000M | FPS: 81769 | Reward: 198.79 | Latent MSE: 0.1384 | Best: 198.79
  Steps: 0000M | FPS: 81863 | Reward: 198.82 | Latent MSE: 0.1378 | Best: 198.82
  Steps: 0000M | FPS: 81965 | Reward: 198.53 | Latent MSE: 0.1372 | Best: 198.82
  Steps: 0000M | FPS: 82035 | Reward: 200.51 | Latent MSE: 0.1366 | Best: 200.51
  Steps: 0000M | FPS: 82104 | Reward: 200.63 | Latent MSE: 0.1360 | Best: 200.63
  Steps: 0000M | FPS: 82150 | Reward: 200.83 | Latent MSE: 0.1355 | Best: 200.83
  Steps: 0000M | FPS: 82230 | Reward: 200.79 | Latent MSE: 0.1349 | Best: 200.83
  Steps: 0000M | FPS: 82321 | Reward: 201.77 | Latent MSE: 0.1343 | Best: 201.77
  Steps: 0000M | FPS: 82408 | Reward: 201.89 | Latent MSE: 0.1338 | Best: 201.89
  Steps: 0000M | FPS: 82482 | Reward: 201.63 | Latent MSE: 0.1332 | Best: 201.89
  Steps: 0000M | FPS: 82543 | Reward: 201.45 | Latent MSE: 0.1327 | Best: 201.89
  Steps: 0000M | FPS: 82617 | Reward: 201.86 | Latent MSE: 0.1321 | Best: 201.89
  Steps: 0000M | FPS: 82723 | Reward: 202.48 | Latent MSE: 0.1316 | Best: 202.48
  Steps: 0000M | FPS: 82796 | Reward: 202.43 | Latent MSE: 0.1310 | Best: 202.48
  Steps: 0000M | FPS: 82837 | Reward: 202.56 | Latent MSE: 0.1305 | Best: 202.56
  Steps: 0000M | FPS: 82913 | Reward: 202.44 | Latent MSE: 0.1300 | Best: 202.56
  Steps: 0000M | FPS: 82990 | Reward: 202.53 | Latent MSE: 0.1295 | Best: 202.56
  Steps: 0000M | FPS: 83095 | Reward: 202.32 | Latent MSE: 0.1289 | Best: 202.56
  Steps: 0000M | FPS: 83168 | Reward: 202.45 | Latent MSE: 0.1284 | Best: 202.56
  Steps: 0000M | FPS: 83266 | Reward: 202.45 | Latent MSE: 0.1279 | Best: 202.56
  Steps: 0000M | FPS: 83433 | Reward: 202.45 | Latent MSE: 0.1274 | Best: 202.56
