  Steps: 0000M | FPS: 105002 | Reward: 118.18 | Latent MSE: 0.2485 | Best: 124.56
  Steps: 0000M | FPS: 105515 | Reward: 120.23 | Latent MSE: 0.2474 | Best: 124.56
  Steps: 0000M | FPS: 106009 | Reward: 120.51 | Latent MSE: 0.2462 | Best: 124.56
  Steps: 0000M | FPS: 106434 | Reward: 120.47 | Latent MSE: 0.2451 | Best: 124.56
  Steps: 0000M | FPS: 106856 | Reward: 120.75 | Latent MSE: 0.2439 | Best: 124.56
  Steps: 0000M | FPS: 107336 | Reward: 121.11 | Latent MSE: 0.2428 | Best: 124.56
  Steps: 0000M | FPS: 107811 | Reward: 122.19 | Latent MSE: 0.2417 | Best: 124.56
  Steps: 0000M | FPS: 108292 | Reward: 122.39 | Latent MSE: 0.2406 | Best: 124.56
  Steps: 0000M | FPS: 108740 | Reward: 123.68 | Latent MSE: 0.2395 | Best: 124.56
  Steps: 0000M | FPS: 109168 | Reward: 124.39 | Latent MSE: 0.2385 | Best: 124.56
  Steps: 0000M | FPS: 109595 | Reward: 124.55 | Latent MSE: 0.2374 | Best: 124.56
  Steps: 0000M | FPS: 109995 | Reward: 124.77 | Latent MSE: 0.2364 | Best: 124.77
  Steps: 0000M | FPS: 110391 | Reward: 125.52 | Latent MSE: 0.2353 | Best: 125.52
  Steps: 0000M | FPS: 110792 | Reward: 125.91 | Latent MSE: 0.2343 | Best: 125.91
  Steps: 0000M | FPS: 111168 | Reward: 126.45 | Latent MSE: 0.2333 | Best: 126.45
  Steps: 0000M | FPS: 111607 | Reward: 127.71 | Latent MSE: 0.2323 | Best: 127.71
  Steps: 0000M | FPS: 112035 | Reward: 129.50 | Latent MSE: 0.2313 | Best: 129.50
  Steps: 0000M | FPS: 112482 | Reward: 130.58 | Latent MSE: 0.2304 | Best: 130.58
  Steps: 0000M | FPS: 112915 | Reward: 131.54 | Latent MSE: 0.2294 | Best: 131.54
